workload,config,rtt_ms,phase,bytes_fetched,requests,byte_amp,req_amp,min_total_bytes,min_requests,min_requests_naive,n_files,min_block_bytes,header_bytes,n_blocks,mean_range_bytes,connections,wall_s,peak_rss_mb,reads_executed,reads_total,truncated,gdal,curl,run_file
W1,DEFAULT,150.0,cold,852430758,681,1.0519734224777968,1.3458498023715415,810315869,506,838,68,810023701,292168,770,1390296.4730831974,2,98.1309,772.7,395,395,False,3.13.3,8.18.0,W1.DEFAULT.rtt150.json
W1,DEFAULT,150.0,warm,841171459,534,1.0380784718409606,1.0553359683794465,810315869,506,838,68,810023701,292168,770,1575227.4513108614,2,74.755,774.9,395,395,False,3.13.3,8.18.0,W1.DEFAULT.rtt150.json
W1,DEFAULT,5.0,cold,852430758,681,1.0519734224777968,1.3458498023715415,810315869,506,838,68,810023701,292168,770,1390296.4730831974,2,14.8891,760.3,395,395,False,3.13.3,8.18.0,W1.DEFAULT.rtt5.json
W1,DEFAULT,5.0,warm,841171459,534,1.0380784718409606,1.0553359683794465,810315869,506,838,68,810023701,292168,770,1575227.4513108614,2,9.4815,792.3,395,395,False,3.13.3,8.18.0,W1.DEFAULT.rtt5.json
W1,DEFAULT,50.0,cold,852430758,681,1.0519734224777968,1.3458498023715415,810315869,506,838,68,810023701,292168,770,1390296.4730831974,2,41.2258,763.2,395,395,False,3.13.3,8.18.0,W1.DEFAULT.rtt50.json
W1,DEFAULT,50.0,warm,841171459,534,1.0380784718409606,1.0553359683794465,810315869,506,838,68,810023701,292168,770,1575227.4513108614,2,32.0127,779.5,395,395,False,3.13.3,8.18.0,W1.DEFAULT.rtt50.json
W1,TUNED_chunk16k,150.0,cold,815815096,665,1.0067865226516994,1.3142292490118577,810315869,506,838,68,810023701,292168,770,1226789.6180451128,2,95.3852,1910.6,395,395,False,3.13.3,8.18.0,W1.TUNED_chunk16k.rtt150.json
W1,TUNED_chunk16k,150.0,warm,0,0,0.0,0.0,810315869,506,838,68,810023701,292168,770,0,0,0.3015,1912.7,395,395,False,3.13.3,8.18.0,W1.TUNED_chunk16k.rtt150.json
W1,TUNED_chunk16k,5.0,cold,815815096,665,1.0067865226516994,1.3142292490118577,810315869,506,838,68,810023701,292168,770,1226789.6180451128,2,10.9721,1905.9,395,395,False,3.13.3,8.18.0,W1.TUNED_chunk16k.rtt5.json
W1,TUNED_chunk16k,5.0,warm,0,0,0.0,0.0,810315869,506,838,68,810023701,292168,770,0,0,0.2793,1908.1,395,395,False,3.13.3,8.18.0,W1.TUNED_chunk16k.rtt5.json
W1,TUNED_chunk16k,50.0,cold,815815096,665,1.0067865226516994,1.3142292490118577,810315869,506,838,68,810023701,292168,770,1226789.6180451128,2,51.1126,1911.2,395,395,False,3.13.3,8.18.0,W1.TUNED_chunk16k.rtt50.json
W1,TUNED_chunk16k,50.0,warm,0,0,0.0,0.0,810315869,506,838,68,810023701,292168,770,0,0,0.2681,1913.6,395,395,False,3.13.3,8.18.0,W1.TUNED_chunk16k.rtt50.json
W1,TUNED_chunk1m,50.0,cold,1133839493,597,1.3992561868487856,1.1798418972332017,810315869,506,838,68,810023701,292168,770,1899228.6314907873,2,35.9625,1928.8,395,395,False,3.13.3,8.18.0,W1.TUNED_chunk1m.rtt50.json
W1,TUNED_chunk1m,50.0,warm,0,0,0.0,0.0,810315869,506,838,68,810023701,292168,770,0,0,0.2429,1928.9,395,395,False,3.13.3,8.18.0,W1.TUNED_chunk1m.rtt50.json
W1,TUNED_chunk256k,50.0,cold,882774562,597,1.0894203060461105,1.1798418972332017,810315869,506,838,68,810023701,292168,770,1478684.3584589614,2,34.8142,1904.8,395,395,False,3.13.3,8.18.0,W1.TUNED_chunk256k.rtt50.json
W1,TUNED_chunk256k,50.0,warm,0,0,0.0,0.0,810315869,506,838,68,810023701,292168,770,0,0,0.2204,1907.0,395,395,False,3.13.3,8.18.0,W1.TUNED_chunk256k.rtt50.json
W2,DEFAULT,150.0,cold,4552782683,6625,7.124019131199905,13.520408163265307,639075022,490,1856,24,638939582,135440,1832,689694.4200878654,1,1127.4577,681.2,9893,9893,False,3.13.3,8.18.0,W2.DEFAULT.rtt150.json
W2,DEFAULT,150.0,warm,4475094627,6513,7.002455850950157,13.291836734693877,639075022,490,1856,24,638939582,135440,1832,687101.892676186,1,1096.9062,682.2,9893,9893,False,3.13.3,8.18.0,W2.DEFAULT.rtt150.json
W2,DEFAULT,5.0,cold,4552782683,6625,7.124019131199905,13.520408163265307,639075022,490,1856,24,638939582,135440,1832,689694.4200878654,1,86.5277,685.2,9893,9893,False,3.13.3,8.18.0,W2.DEFAULT.rtt5.json
